"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SPK1";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"SPK";;;
2;"Prv1,Play1,Nxt1";"SW_PUSH_6mm_H8mm";3;"SW_Push";;;
3;"L1";"L_APV_APH0420";1;"22µH";;;
4;"Microcontroller1";"MODULE_XIAO_ESP32C3";1;"XIAO_ESP32C3";;;
5;"C5,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF";;;
6;"RV1";"Potentiometer_ACP_CA6-VSMD_Vertical_Hole";1;"2.2k";;;
7;"DF_Player1";"MODULE_DFR0299";1;"DFR0299";;;
8;"SW1";"SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm";1;"SW_Wuerth_450301014042";;;
9;"R1";"R_0805_2012Metric";1;"100kΩ";;;
10;"D1";"D_SMA_Handsoldering";1;"SS34";;;
11;"U6";"SOT-23-6";1;"MT3608";;;
